NOE,SST,SSP,QST,QSP,MST,MSP,FIBS,FIBT,FIBPT
10,0.001809,0.004278,0.000827,0.000626,0.000401,0.000592,10,0.000332,0
10,0.001809,0.004278,0.000827,0.000626,0.000401,0.000592,10,0.000332,0.000178
50,0.008315,0.031566,0.004372,0.000995,0.000405,0.000587,50,0.000195,0
50,0.008315,0.031566,0.004372,0.000995,0.000405,0.000587,50,0.000195,0.000237
100,0.016578,0.059749,0.007447,0.000935,0.000459,0.000605,25,0.000282,0
100,0.016578,0.059749,0.007447,0.000935,0.000459,0.000605,25,0.000282,0.000295
200,0.031747,0.133714,0.017209,0.001065,0.000523,0.000644,80,0.000262,0
200,0.031747,0.133714,0.017209,0.001065,0.000523,0.000644,80,0.000262,0.000254
300,0.046162,0.201197,0.023805,0.001011,0.000535,0.000718,150,0.000271,0
300,0.046162,0.201197,0.023805,0.001011,0.000535,0.000718,150,0.000271,0.000231
600,0.092834,0.404713,0.051059,0.00104,0.000619,0.000723,250,0.000367,0
600,0.092834,0.404713,0.051059,0.00104,0.000619,0.000723,250,0.000367,0.000254
900,0.133581,0.557137,0.079979,0.001035,0.000707,0.000741,300,0.000374,0
900,0.133581,0.557137,0.079979,0.001035,0.000707,0.000741,300,0.000374,0.000276
1200,0.183164,0.847371,0.119235,0.001204,0.000818,0.000855,1556111435,0.000399,0
1200,0.183164,0.847371,0.119235,0.001204,0.000818,0.000855,1556111435,0.000399,0.000264
1500,0.219934,1.052789,0.145954,0.001104,0.001043,-4.36449E+36,1556111435,0.000446,0
1500,0.219934,1.052789,0.145954,0.001104,0.001043,-4.36449E+36,1556111435,0.000446,0.000273
1500, 0.236030, 1.162506, 0.157214, 0.001229, 0.000955, 0.000931, 200, 0.000323, 0.000000
1500, 0.236030, 1.162506, 0.157214, 0.001229, 0.000955, 0.000931, 200, 0.000323, 0.000263
5, 0.001544, 0.006760, 0.000774, 0.001713, 0.000994, 0.001918, 10, 0.000359, 0.000000
5, 0.001544, 0.006760, 0.000774, 0.001713, 0.000994, 0.001918, 10, 0.000359, 0.000336
1500, 0.499970, 3.274835, 0.336250, 0.003150, 0.002580, 0.003003, 200, 0.000527, 0.000000
1500, 0.499970, 3.274835, 0.336250, 0.003150, 0.002580, 0.003003, 200, 0.000527, 0.000571
555, 0.174949, 1.206004, 0.174777, 0.003094, 0.001655, 0.002174, 200, 0.000537, 0.000000
